# StartTime = 01/19/2024 01:25:31.1282 PM
# FuelCalculationMethod = MassAirFlow
Time (sec), Latitude (deg), Longitude (deg), Vehicle speed (km/h), Accel X (m/s²), Accel Y (m/s²), Accel Z (m/s²), Engine RPM (RPM), Mass air flow rate (g/s), Absolute throttle position (%), Fuel level input (%), GPS Speed (km/h), Fuel rate (l/hr), Alcohol fuel percentage (%), Engine fuel rate (l/hr), Vehicle Fuel Rate (g/s), Fuel Remaining (l), Fuel Level Input A (%), Fuel Level Input B (%), Instant fuel economy (l/100 km), Calculated load value (%), Fuel rail pressure (kPa), Fuel rail pressure relative to manifold vacuum (kPa), Accelerator pedal position D (%), Accelerator pedal position E (%)
0.000,-23.03084,-44.54698,5,2.356841,1.201473,7.456383,0,4.8,0,0,6.847721,0,0,0,0,0,0,0,31.92968,0,0,0,0,0
0.011,-23.03084,-44.54698,5,1.99456,0.9909611,6.742578,0,4.8,0,0,6.847721,0,0,0,0,0,0,0,31.92968,0,0,0,0,0
1.608,-23.03086,-44.54696,8,-0.9735692,0.8112216,-0.6991072,1575.25,12.74,32.54902,84.31373,8.486231,4.23978,32.15686,0,0,11.80392,0,0,52.99721,58.43137,0,0,32.94118,17.2549
1.612,-23.03086,-44.54696,8,-1.093203,0.8047779,-0.7050926,1575.25,12.74,32.54902,84.31373,8.486231,4.23978,32.15686,0,0,11.80392,0,0,52.99721,58.43137,0,0,32.94118,17.2549
1.613,-23.03086,-44.54696,8,-1.093203,0.8047779,-0.7050926,1575.25,12.74,32.54902,84.31373,8.486231,4.23978,32.15686,0,0,11.80392,0,0,52.99721,58.43137,0,0,32.94118,17.2549
1.625,-23.03086,-44.54696,8,-1.232943,0.7851076,-0.6393029,1575.25,12.74,32.54902,84.31373,8.486231,4.23978,32.15686,0,0,11.80392,0,0,52.99721,58.43137,0,0,32.94118,17.2549
2.248,-23.03086,-44.54695,10,-0.1040676,-0.5314988,-0.4043305,1857,16.48,34.90196,84.31373,9.806731,5.484425,32.15686,0,0,11.80392,0,0,54.84421,63.92157,0,0,25.09804,10.58823
2.252,-23.03086,-44.54695,10,0.08991862,-0.6050017,-0.6138369,1857,16.48,34.90196,84.31373,9.806731,5.484425,32.15686,0,0,11.80392,0,0,54.84421,63.92157,0,0,25.09804,10.58823
2.254,-23.03086,-44.54695,10,0.08991862,-0.6050017,-0.6138369,1857,16.48,34.90196,84.31373,9.806731,5.484425,32.15686,0,0,11.80392,0,0,54.84421,63.92157,0,0,25.09804,10.58823
2.254,-23.03086,-44.54695,10,0.08991862,-0.6050017,-0.6138369,1857,16.48,34.90196,84.31373,9.806731,5.484425,32.15686,0,0,11.80392,0,0,54.84421,63.92157,0,0,25.09804,10.58823
