VIN,model,year,brand,car_weight,engine,town,start_location,end_location,start_time,end_time,total_distance,city (%),highway (%),city (distance),highway (distance),fuel_type,ethanol (%),emission,behavior_cautious (%),behavior_normal (%),behavior_aggressive (%),co2_etanol_original_gas_1720_flex,start_lat_private,start_lon_private,start_displacement_m,end_lat_private,end_lon_private,end_displacement_m,gps_distance_private_km,dp_epsilon,dp_processed
93XATGK1WSCR19187,Eclipse Cross,2025,Mitsubishi,Leve,1.5,Natal,"-5.8431992, -35.1977242","-5.8431281, -35.1975708",2025-04-01 15:49:46.297430,2025-04-01 15:58:30.290539,5.929315419560127,69.52380952380952,30.47619047619048,4.12228595836085,1.807029461199277,Gasolina,0.0,2244.116,59.238095238095234,9.904761904761903,30.85714285714285,1350.297,-5.8521914,-35.2032783,1173.5541822149903,-5.8521914,-35.2032783,1189.2182704633224,0.0,0.5,True
93XATGK1WSCR19187,Eclipse Cross,2025,Mitsubishi,Leve,1.5,Natal,"-5.8431389, -35.197623","-5.8431655, -35.1976157",2025-04-01 16:00:00.612214,2025-04-01 16:09:34.612331,5.950694018399229,82.95652173913044,17.043478260869563,4.9364887770024914,1.014205241396738,Gasolina,0.0,1865.02,68.52173913043478,12.869565217391305,18.60869565217392,1268.133,-5.8521914,-35.2032783,1185.1427691389938,-5.8521914,-35.2032783,1183.0589549237206,0.0,0.5,True
93XATGK1WSCR19187,Eclipse Cross,2025,Mitsubishi,Leve,1.5,Natal,"-5.8432125, -35.1976468","-5.8432379, -35.1976116",2025-04-03 09:14:00.490689,2025-04-03 09:23:21.490554,5.924062322177523,80.2491103202847,19.7508896797153,4.75400730836666,1.170055013810863,Gasolina,0.0,1849.428,68.14946619217082,31.85053380782918,0.0,1676.778,-5.8521914,-35.2032783,1176.8039857937094,-5.8521914,-35.2032783,1176.4786745962492,0.0,0.5,True
93XATGK1WSCR19187,Eclipse Cross,2025,Mitsubishi,Leve,1.5,Natal,"-5.8432266, -35.1976361","-5.843245, -35.19758",2025-04-03 09:25:17.829600,2025-04-03 09:34:22.828499,5.914713932206202,78.3882783882784,21.61172161172161,4.636442423048085,1.2782715091581167,Gasolina,0.0,1750.172,69.41391941391942,30.586080586080588,0.0,1343.885,-5.8521914,-35.2032783,1176.1017690436775,-5.8521914,-35.2032783,1177.6778191782967,0.0,0.5,True
9BRK29BT7J0135498,Etios,2018,Toyota,Leve,1.5,Natal,"-5.8432019, -35.197708","-5.8438781, -35.1976433",2025-04-01 13:50:03.832226,2025-04-01 13:59:56.836017,5.715424441677528,87.22689075630252,12.773109243697476,4.985387034001071,0.7300374076764571,Gasolina,27.17225969645868,1189.316,59.66386554621849,40.33613445378151,0.0,1131.67,-5.8521914,-35.2032783,1174.2377229242843,-5.8527614,-35.2027761,1139.3281854166119,0.08427978187088453,0.5,True
9BRK29BT7J0135498,Etios,2018,Toyota,Leve,1.5,Natal,"-5.8432182, -35.1975421","-5.8435309, -35.1976745",2025-04-01 14:02:37.446087,2025-04-01 14:13:34.445176,5.927031696451487,88.46737481031866,11.53262518968134,5.243489346026125,0.6835423504253615,Gasolina,27.45,1182.115,61.15326251896813,38.846737481031866,0.0,905.479,-5.8521914,-35.2032783,1182.44054269847,-5.8527614,-35.2027761,1171.290889420058,0.08427978187088453,0.5,True
9BRK29BT7J0135498,Etios,2018,Toyota,Leve,1.5,Natal,"-5.843187, -35.1976302","-5.8432611, -35.1975546",2025-04-01 15:21:17.944818,2025-04-01 15:32:35.944284,5.974182084739328,87.48159057437408,12.51840942562592,5.226309511539265,0.7478725732000631,Gasolina,27.449999999999992,1175.951,40.20618556701031,50.220913107511045,9.572901325478648,871.12,-5.8521914,-35.2032783,1180.181626326085,-5.8521914,-35.2032783,1177.6740994812355,0.0,0.5,True
9BRK29BT7J0135498,Etios,2018,Toyota,Leve,1.5,Natal,"-5.8432338, -35.1975305","-5.8433396, -35.1976027",2025-04-01 15:34:50.497871,2025-04-01 15:45:07.496856,5.957542437892012,85.27508090614887,14.724919093851128,5.080299133930566,0.8772433039614448,Gasolina,26.91525974025973,1153.4630000000002,45.63106796116505,37.86407766990291,16.50485436893204,846.238,-5.8521914,-35.2032783,1181.6670771333918,-5.8521914,-35.2032783,1167.4535939801797,0.0,0.5,True
9BD376AT1SYB85622,Fastback,2025,Fiat,Leve,1.0,Natal,"-5.8431164, -35.1975813","-5.8432602, -35.1975297",2025-01-31 15:03:46.818287,2025-01-31T15:13:33.817668,5.991391890472533,68.55241264559068,31.44758735440932,4.107243691971187,1.884148198501346,Etanol,98.82,1030.163,42.76206322795341,23.46089850249584,33.777038269550744,1030.163,-5.8521914,-35.2032783,1189.7053461510232,-5.8521914,-35.2032783,1179.2414402786808,0.0,0.5,True
9BD376AT1SYB85622,Fastback,2025,Fiat,Leve,1.0,Natal,"-5.8610489, -35.2142556","-7.0161312, -35.8570733",2025-02-01 08:35:56.658757,2025-02-01T12:11:24.658875,199.3708413605134,35.550853061764315,64.44914693823569,70.87803486007935,128.49280650043406,Etanol,98.81999999999996,26108.973,99.94709694484855,0.0529030551514349,0.0,26108.973,-5.8699603,-35.2166803,1026.5575650182086,-7.0250986,-35.8640476,1259.640072200056,147.0184377912292,0.5,True
