VIN;Modelo;Distancia_SUMO_km;Distancia_Trajeto_Original_km;Distancia_Trajeto_com_Offset_km;Diferenca_Distancia_km;Offset_Cancelado;Tentativas_MapMatching;Num_Pontos;Start_Lat_Original;Start_Lon_Original;End_Lat_Original;End_Lon_Original;Start_Lat_com_Offset;Start_Lon_com_Offset;End_Lat_com_Offset;End_Lon_com_Offset;Diferenca_Distancia_Percentual;Offset_X_Graus;Offset_Y_Graus;Raio_Maximo_km
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;4,6030;3,3657;False;2118;40;40,7756;-73,9605;40,7731;-73,9603;40,7834;-73,9707;40,7794;-73,9698;272,0121;0,0074;-0,0091;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,4179;1,1805;False;835;40;40,7756;-73,9605;40,7731;-73,9603;40,7884;-73,9533;40,7859;-73,9532;95,4103;0,0127;0,0071;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,9448;1,7074;False;1052;40;40,7756;-73,9605;40,7731;-73,9603;40,7683;-73,9671;40,7660;-73,9673;137,9927;-0,0071;-0,0062;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,7398;1,5025;False;1206;40;40,7756;-73,9605;40,7731;-73,9603;40,7726;-73,9556;40,7698;-73,9547;121,4276;-0,0031;0,0048;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,9014;1,6641;False;1981;40;40,7756;-73,9605;40,7731;-73,9603;40,7789;-73,9562;40,7763;-73,9560;134,4903;0,0034;0,0042;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,6269;1,3895;False;1747;40;40,7756;-73,9605;40,7731;-73,9603;40,7701;-73,9573;40,7671;-73,9563;112,3001;-0,0062;0,0041;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,8340;1,5967;False;1553;40;40,7756;-73,9605;40,7731;-73,9603;40,7763;-73,9643;40,7737;-73,9640;129,0405;0,0006;-0,0038;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;5,5211;4,2838;False;2782;40;40,7756;-73,9605;40,7731;-73,9603;40,7833;-73,9527;40,7809;-73,9510;346,2091;0,0076;0,0087;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,2407;2,0034;False;1481;40;40,7756;-73,9605;40,7731;-73,9603;40,7622;-73,9701;40,7594;-73,9694;161,9131;-0,0136;-0,0094;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;4,1670;2,9297;False;2696;40;40,7756;-73,9605;40,7731;-73,9603;40,7819;-73,9756;40,7789;-73,9742;236,7739;0,0058;-0,0144;2,0000
