VIN;Modelo;Distancia_SUMO_km;Distancia_Trajeto_Original_km;Distancia_Trajeto_com_Offset_km;Diferenca_Distancia_km;Offset_Cancelado;Tentativas_MapMatching;Pontos_Descartados_MapMatching;Num_Pontos;Start_Lat_Original;Start_Lon_Original;End_Lat_Original;End_Lon_Original;Start_Lat_com_Offset;Start_Lon_com_Offset;End_Lat_com_Offset;End_Lon_com_Offset;Diferenca_Distancia_Percentual;Offset_X_Graus;Offset_Y_Graus;Raio_Maximo_km
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,4026;0,1653;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7659;-73,9535;40,7633;-73,9537;13,3586;-0,0099;0,0068;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,0827;-0,1547;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7597;-73,9530;40,7577;-73,9538;-12,5008;-0,0152;0,0066;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,9002;-0,3372;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7916;-73,9530;40,7896;-73,9545;-27,2509;0,0169;0,0046;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,1873;-0,0501;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7608;-73,9649;40,7582;-73,9648;-4,0460;-0,0151;-0,0049;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,8441;-0,3932;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7687;-73,9489;40,7667;-73,9506;-31,7816;-0,0076;0,0131;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,1798;-0,0575;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7776;-73,9611;40,7754;-73,9599;-4,6464;0,0021;-0,0000;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,3825;-0,8548;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7838;-73,9653;40,7833;-73,9639;-69,0854;0,0101;-0,0036;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,0907;-0,1466;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7612;-73,9580;40,7591;-73,9584;-11,8476;-0,0139;0,0021;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,8989;-0,3384;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7867;-73,9685;40,7848;-73,9697;-27,3526;0,0116;-0,0092;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,2896;2,0523;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7769;-73,9755;40,7711;-73,9680;165,8639;-0,0005;-0,0109;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,3836;0,1463;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7762;-73,9598;40,7736;-73,9598;11,8231;0,0002;0,0008;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,3749;0,1376;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7789;-73,9500;40,7755;-73,9502;11,1181;0,0026;0,0106;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,8896;0,6523;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7798;-73,9734;40,7781;-73,9746;52,7192;0,0041;-0,0121;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,2850;0,0476;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7851;-73,9492;40,7825;-73,9490;3,8502;0,0096;0,0115;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,3048;0,0675;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7629;-73,9492;40,7615;-73,9500;5,4534;-0,0129;0,0117;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,5729;0,3356;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7855;-73,9462;40,7826;-73,9454;27,1219;0,0096;0,0147;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,9227;-0,3147;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7936;-73,9633;40,7913;-73,9617;-25,4306;0,0177;-0,0018;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,7568;0,5195;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7655;-73,9516;40,7624;-73,9495;41,9833;-0,0102;0,0093;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,7726;-0,4647;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7695;-73,9580;40,7681;-73,9587;-37,5560;-0,0056;0,0019;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,0250;-0,2123;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7842;-73,9747;40,7826;-73,9750;-17,1574;0,0090;-0,0139;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,1209;-0,1164;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7870;-73,9524;40,7846;-73,9520;-9,4101;0,0115;0,0076;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,2581;0,0208;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7853;-73,9464;40,7826;-73,9454;1,6774;0,0095;0,0144;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,9880;-0,2493;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7910;-73,9535;40,7890;-73,9561;-20,1482;0,0161;0,0047;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,2489;0,0115;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7828;-73,9712;40,7793;-73,9695;0,9311;0,0066;-0,0089;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,5271;0,2897;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7781;-73,9656;40,7763;-73,9642;23,4160;0,0036;-0,0047;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,7097;-0,5277;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7738;-73,9660;40,7723;-73,9666;-42,6461;-0,0013;-0,0064;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,7276;-0,5098;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7769;-73,9754;40,7750;-73,9769;-41,1992;0,0005;-0,0129;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,7896;-0,4477;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7742;-73,9435;40,7725;-73,9451;-36,1853;-0,0023;0,0176;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,9073;-0,3301;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7695;-73,9482;40,7678;-73,9497;-26,6745;-0,0067;0,0136;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,4976;0,2603;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7778;-73,9456;40,7748;-73,9448;21,0375;0,0017;0,0158;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,0776;-0,1598;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7889;-73,9520;40,7868;-73,9522;-12,9111;0,0136;0,0085;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,0939;-0,1434;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7776;-73,9633;40,7751;-73,9632;-11,5895;0,0022;-0,0033;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,2529;0,0156;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7750;-73,9631;40,7724;-73,9630;1,2605;-0,0007;-0,0027;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,7631;-0,4742;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7842;-73,9585;40,7822;-73,9598;-38,3263;0,0092;0,0009;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,0362;-0,2011;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7641;-73,9589;40,7612;-73,9598;-16,2554;-0,0115;0,0009;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,2840;0,0467;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7750;-73,9631;40,7723;-73,9628;3,7742;-0,0010;-0,0024;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,3120;0,0746;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7669;-73,9617;40,7643;-73,9616;6,0322;-0,0088;-0,0015;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,2993;0,0620;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7659;-73,9768;40,7649;-73,9766;5,0073;-0,0081;-0,0152;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,1785;-0,0588;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7871;-73,9499;40,7843;-73,9493;-4,7543;0,0115;0,0113;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,1596;-0,0777;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7766;-73,9486;40,7739;-73,9486;-6,2813;0,0006;0,0116;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,1112;-0,1261;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7750;-73,9569;40,7721;-73,9561;-10,1942;-0,0006;0,0032;2,0000
