Run_ID;CSV_Origem;Trajectory_ID;VIN;Modelo;Distancia_SUMO_km;Num_Pontos_Trajeto_Original;Num_Pontos_Trajeto_com_Offset;Diferenca_Num_Pontos;Diferenca_Num_Pontos_Percentual;Distancia_Trajeto_Original_km;Distancia_Trajeto_com_Offset_km;Diferenca_Distancia_km;Offset_Cancelado;Tentativas_MapMatching;Pontos_Descartados_MapMatching;Start_Lat_Original;Start_Lon_Original;End_Lat_Original;End_Lon_Original;Start_Lat_com_Offset;Start_Lon_com_Offset;End_Lat_com_Offset;End_Lon_com_Offset;Diferenca_Distancia_Percentual;Offset_X_Graus;Offset_Y_Graus;Raio_Maximo_km
1;vehicles_step_sim_9.csv;vehicles_step_sim_9__run001__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;130;130;0;0,0000;1,4055;1,4054;-0,0001;False;0;0;40,7756;-73,9607;40,7730;-73,9622;40,7817;-73,9464;40,7791;-73,9479;-0,0052;0,0061;0,0143;2,0000
2;vehicles_step_sim_9.csv;vehicles_step_sim_9__run002__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;130;130;0;0,0000;1,4055;1,4055;-0,0000;False;0;0;40,7756;-73,9607;40,7730;-73,9622;40,7762;-73,9746;40,7736;-73,9761;-0,0005;0,0006;-0,0139;2,0000
3;vehicles_step_sim_9.csv;vehicles_step_sim_9__run003__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;130;130;0;0,0000;1,4055;1,4054;-0,0001;False;0;0;40,7756;-73,9607;40,7730;-73,9622;40,7805;-73,9721;40,7778;-73,9736;-0,0041;0,0048;-0,0114;2,0000
4;vehicles_step_sim_9.csv;vehicles_step_sim_9__run004__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;130;130;0;0,0000;1,4055;1,4057;0,0002;False;0;0;40,7756;-73,9607;40,7730;-73,9622;40,7622;-73,9670;40,7596;-73,9685;0,0114;-0,0134;-0,0063;2,0000
5;vehicles_step_sim_9.csv;vehicles_step_sim_9__run005__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;130;130;0;0,0000;1,4055;1,4054;-0,0001;False;0;0;40,7756;-73,9607;40,7730;-73,9622;40,7841;-73,9647;40,7814;-73,9662;-0,0072;0,0084;-0,0040;2,0000
6;vehicles_step_sim_9.csv;vehicles_step_sim_9__run006__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;130;130;0;0,0000;1,4055;1,4057;0,0002;False;0;0;40,7756;-73,9607;40,7730;-73,9622;40,7596;-73,9672;40,7569;-73,9688;0,0137;-0,0161;-0,0066;2,0000
7;vehicles_step_sim_9.csv;vehicles_step_sim_9__run007__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;130;130;0;0,0000;1,4055;1,4056;0,0001;False;0;0;40,7756;-73,9607;40,7730;-73,9622;40,7697;-73,9469;40,7670;-73,9484;0,0051;-0,0060;0,0138;2,0000
8;vehicles_step_sim_9.csv;vehicles_step_sim_9__run008__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;130;130;0;0,0000;1,4055;1,4055;-0,0000;False;0;0;40,7756;-73,9607;40,7730;-73,9622;40,7792;-73,9498;40,7765;-73,9513;-0,0030;0,0035;0,0108;2,0000
9;vehicles_step_sim_9.csv;vehicles_step_sim_9__run009__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;130;130;0;0,0000;1,4055;1,4055;0,0000;False;0;0;40,7756;-73,9607;40,7730;-73,9622;40,7723;-73,9657;40,7696;-73,9672;0,0029;-0,0034;-0,0050;2,0000
10;vehicles_step_sim_9.csv;vehicles_step_sim_9__run010__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;130;130;0;0,0000;1,4055;1,4057;0,0002;False;0;0;40,7756;-73,9607;40,7730;-73,9622;40,7616;-73,9642;40,7589;-73,9657;0,0120;-0,0141;-0,0035;2,0000
