VIN;Modelo;Distancia_SUMO_km;Num_Pontos_Trajeto_Original;Num_Pontos_Trajeto_com_Offset;Diferenca_Num_Pontos;Diferenca_Num_Pontos_Percentual;Distancia_Trajeto_Original_km;Distancia_Trajeto_com_Offset_km;Diferenca_Distancia_km;Offset_Cancelado;Tentativas_MapMatching;Pontos_Descartados_MapMatching;Start_Lat_Original;Start_Lon_Original;End_Lat_Original;End_Lon_Original;Start_Lat_com_Offset;Start_Lon_com_Offset;End_Lat_com_Offset;End_Lon_com_Offset;Diferenca_Distancia_Percentual;Offset_X_Graus;Offset_Y_Graus;Raio_Maximo_km
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,7174;0,2643;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7682;-73,9557;40,7658;-73,9573;7,6534;-0,0075;0,0052;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,6090;0,1559;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7686;-73,9677;40,7660;-73,9695;4,5148;-0,0071;-0,0069;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,2215;-0,2317;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7918;-73,9630;40,7903;-73,9657;-6,7086;0,0166;-0,0021;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;8,2314;4,7783;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7782;-73,9745;40,7756;-73,9764;138,3781;0,0015;-0,0108;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;2,8758;-0,5773;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7711;-73,9680;40,7688;-73,9707;-16,7188;-0,0042;-0,0085;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;2,8725;-0,5806;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7724;-73,9468;40,7701;-73,9494;-16,8136;-0,0029;0,0128;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,7511;0,2980;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7767;-73,9468;40,7740;-73,9487;8,6309;0,0011;0,0132;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,5542;0,1011;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7896;-73,9576;40,7896;-73,9576;2,9288;0,0155;0,0039;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;5,4116;1,9584;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7750;-73,9769;40,7714;-73,9772;56,7156;-0,0011;-0,0147;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;4,0842;0,6311;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7871;-73,9519;40,7840;-73,9525;18,2775;0,0115;0,0095;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;4,2248;0,7717;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7827;-73,9636;40,7781;-73,9656;22,3476;0,0071;-0,0027;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;5,5458;2,0927;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7695;-73,9741;40,7658;-73,9764;60,6030;-0,0073;-0,0144;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;2,6455;-0,8076;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7695;-73,9482;40,7667;-73,9506;-23,3891;-0,0071;0,0138;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;8,8982;5,4451;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7761;-73,9761;40,7705;-73,9756;157,6871;-0,0013;-0,0116;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,3598;-0,0933;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7736;-73,9598;40,7705;-73,9603;-2,7010;-0,0021;0,0013;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,1339;-0,3192;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7762;-73,9439;40,7732;-73,9448;-9,2443;0,0005;0,0171;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;1,9266;-1,5265;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7902;-73,9596;40,7903;-73,9598;-44,2068;0,0156;0,0015;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,4778;0,0247;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7822;-73,9580;40,7795;-73,9598;0,7154;0,0064;0,0023;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,0427;-0,4104;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7781;-73,9659;40,7750;-73,9652;-11,8861;0,0028;-0,0053;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;4,2397;0,7866;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7615;-73,9705;40,7587;-73,9717;22,7790;-0,0145;-0,0097;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,5425;0,0894;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7606;-73,9626;40,7577;-73,9636;2,5895;-0,0152;-0,0020;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;2,9256;-0,5275;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7913;-73,9617;40,7898;-73,9661;-15,2754;0,0157;-0,0009;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;4,6702;1,2171;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7877;-73,9713;40,7851;-73,9730;35,2453;0,0118;-0,0106;2,0000
