linha,worker_id,wallet,tx_hash,block,gas_used,meta_co2,diff,e1_value,latency_ms,tx_latency_ms,error
1,37,0x1F60D9348eFbe8c8b4E88891e426260b31F1513F,0x3c9b335b0f0a81e3eab523e08451aa107c3ca3630714dff7e70c81810fdd8e5a,33107,32097,8605,4302,0.000236,21017.48,20160.13,
1,48,0xcE5d8BF37FAc19041d5F95da111A675D54e79b3D,0x931ed0046ec50db70e69f8485fc8ad0cb78f96d24e15b2a21095bf9d3143dfe9,33107,32097,8605,4302,0.000236,21019.12,20157.24,
1,62,0x11DcBdb66Ef65f7AacB7cC3fdfE8a8A176bd9A41,0xcc7766ccb657bb530ca28a13c93110db34304cc3f87feea5e1cc48345b766e0a,33107,32097,8605,4302,0.000236,21020.41,20162.44,
1,22,0xC6afd0BE4A0038d68d31a6eB9Fd9411f3C9987B1,0x2216c66aeac691497a2f181dc8ebc0e17dfca1ff882ca510b79f5e8bc4f51739,33107,32097,8605,4302,0.000236,21041.42,20167.17,
1,61,0xEde91d8dA645fDbD91C75f0b7714A6fE186f660c,0xfe6b61e2fb7338bf7ad4016aa80fe6aade54a8d98b80111693b7991256f10e30,33107,32097,8605,4302,0.000236,21036.37,20181.88,
1,6,0xC6a49aB58c204D4A3EA0d3D41a2b94Af71134598,0x082a5371df1afc5cd8b6517300657c2f8172dd372c43c59ea3ca0c537289fa30,33107,32097,8605,4302,0.000236,21045.51,20170.36,
1,17,0x99D0e2E5b99437f7f47e4AdA355aCdA182fC8798,0xd44674f01c1e931355d8d6cda538d03dce00977a9604a0c0ba31965216dc3a0b,33107,32097,8605,4302,0.000236,21038.46,20172.98,
1,27,0x2930E66C5E92D27ed7C88279fd9Bbb4EE4661b15,0x5a168a0d48b353ce98209c81970c9213c9c40a785e2e19eee5de153bea1a5c38,33107,32097,8605,4302,0.000236,21035.74,20178.98,
1,28,0x3f4B6ACbd67065109C7113426F9DA259f86b1129,0xfa032ac7fe8239fb96b2e4813fa70c63834177a4e136e5d1fbebb477b87af2bc,33107,32097,8605,4302,0.000236,21038.67,20157.98,
1,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x989af68d522e34f01fbf890e9c7e44b73ce5382e84ea8137f3c20755c6c1e6b9,33107,32097,8605,4302,0.000236,21046.11,20175.67,
1,36,0x2963d42eC7F9B644E1Ffcd96fE762E0706987286,0x206fccaa66d1c04fafb8a7fac0a38beffcc4d211f30384f7da45226e4b05366e,33107,32097,8605,4302,0.000236,21057.57,20187.68,
1,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x025302ff9d29ecb5cf8e9ce4c0307caa0ed2400e8a37f3b76c5b5c756db55d77,33107,32097,8605,4302,0.000236,21070.11,20170.89,
1,16,0x817007D27a7D8DF5AB038b5959B5c1fA934cF9f2,0xd12ce69d87164570ab5bc40cc7c037992770bdb10584a23512a01cf0bec4f7cd,33107,32097,8605,4302,0.000236,21061.08,20157.32,
1,11,0xE18bF9Fa8f80F14e465716a87035576239b51e56,0xe6dd3e897c2a7c35f92efb31eb7fd89db6626651932237985eed7db8d9b6fcfb,33107,32097,8605,4302,0.000236,21064.79,20157.25,
1,8,0xFf02645cd3b555B438c6856320a3E38da27Fc11a,0xe8bbcfb618e0f7c22dfd164f18e4d86820e95fbdd5d2e772d565f98cd7d5f831,33107,32097,8605,4302,0.000236,21078.30,20171.92,
1,52,0x685395A227869B0349DE94e8646B542788E56CDF,0x0950a49ac94c740b253d6a1c7f68b054c4804f43afbd998e59a9aabe73838062,33107,32097,8605,4302,0.000236,21075.84,20153.81,
1,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0xe459cb9e711f45624bbff6d2b80c7765867aeb816fbd4cf885e06e6f678395a4,33107,32097,8605,4302,0.000236,21083.41,20160.81,
1,25,0x196aF782a007bcC06E34FE08023cF90a90f9f1f6,0x9466fb7ac203d99fa28238b62bffb841c9712c6c185638b2f2a14c68cb089cf2,33107,32097,8605,4302,0.000236,21076.78,20153.02,
1,56,0xBd2100Aa575ba4Eba7dD615472B6aB5C462f1b7d,0xd21e2de6a15c9ceb0577f77500b2e26b12e728d14a9b9e41e695a1c02749ed6b,33107,32097,8605,4302,0.000236,21078.28,20172.46,
1,32,0x6d5fC33879F3b514f58B2C9a578F98Ff43c03cA5,0xd21c72ce7a7bbeab84130d9c10073196dc4418d2a9d93be8b6f78096a1f0d0c7,33107,32097,8605,4302,0.000236,21088.08,20169.79,
1,58,0x4850B8a9F81EA9A03fd48000A16144C9D5F1Ada9,0xff8be6858afc4076780e201fbb81cbda4e2cb2bfe6b33f0a05407f007041c6a8,33107,32097,8605,4302,0.000236,21091.49,20161.73,
1,31,0x900a81728A6A5EE692a264612A7FBCbdc0C500Df,0xcace81a918f70a0ffc3db88c2508b6199689ee3c25e87fa2333d8bc1808ed879,33107,32097,8605,4302,0.000236,21089.05,20169.56,
1,41,0x0F3909b02717Ebca28b223036Fe712f115493caC,0x53d0e3ba005259e037a0ac776da637136cc34054d00d273a0eae77540281bfff,33107,32097,8605,4302,0.000236,21090.88,20169.92,
1,24,0x00c4EB9c81e52344dAcdd6A94C5D6100801e1456,0x4a90777edbdd871aa6699f7b3c37f3cc8b9916838479757ed94ed1c04e88e3f2,33107,32097,8605,4302,0.000236,21090.05,20160.28,
