linha,worker_id,wallet,tx_hash,block,gas_used,meta_co2,diff,e1_value,latency_ms,tx_latency_ms,error
1,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x40aa5b39fa162036b7cf949a693225437072866640ef7cf781f89dce4b6f84d4,22788,32097,8605,4302,0.000236,16950.22,16157.29,
1,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0xe391c04b9453b2663fe2b80982c5873655ca3e87a5472e2d20dba0672e11ab87,22788,32097,8605,4302,0.000236,16970.54,16159.08,
1,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0xf53c5b1e2b576b39f84c8c52a02f82463b15c74008c2d3a0e52d2a51d94e5d84,22788,32097,8605,4302,0.000236,16971.65,16160.94,
1,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x16c5f3956a62bed3d73cacc20fb72dd262c4911ff6f216ea0ba1b4fdc9fca02a,22788,32097,8605,4302,0.000236,16995.54,16165.61,
2,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x9b2462b09bd85c02590d81a683f32899c7b10e19a2345d1edfb78f14db47c495,22789,32097,11874,5937,0.000326,29630.21,29158.78,
2,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x1a1084ad3f5e898ba9c74a28b259087a32827433e360c265439d69da239c68a1,22789,32097,11874,5937,0.000326,29645.65,29161.18,
2,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x2cf1ecea0dc92f1eb378b2f6a557fcff793fa38ead55dfae62ae9769fb131e93,22789,32097,11874,5937,0.000326,29647.40,29160.26,
2,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0xd063c0aba17038c09e06b9dd88c5784ea923232f7c597075d136eef4c165f41a,22789,32097,11874,5937,0.000326,29663.87,29167.56,
3,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0xbffe60f5ef6dbfe76420096b4958524e932bce6e84763d037e162e53c93d8381,22790,32097,16013,8006,0.000440,29642.76,29160.55,
3,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x339183165d042a7671ca8dc1497419f7c1f12b0477af30cda5a3e4fbfa067918,22790,32097,16013,8006,0.000440,29642.04,29161.26,
3,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x420ea9c7689a83d2fde95b770e109f97fdceb760c74cc6becbdf5e9630cf51ac,22790,32097,16013,8006,0.000440,29662.98,29165.95,
3,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x1c51ea8fa80700f7c423de8cfe831c2dd78f93c03f6370f679c957497a1721ae,22790,32097,16013,8006,0.000440,30630.64,30159.17,
4,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xd0927d434403bef22b4cd61f4a386e48e16ef82e038769ad9df1f7436361d948,22791,32097,16013,8006,0.000440,29630.02,29158.06,
4,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x1df93e7d390c34a356e3a1690cd8c35404f6669e431225d85bbe87397c30dfdb,22791,32097,16013,8006,0.000440,30645.60,30162.35,
4,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0xde6b5a186a3005e519b7e7607dc28c95a1e43bc6e3740c0fb24789b532774d10,22791,32097,16013,8006,0.000440,30648.17,30161.05,
4,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x46abc62423c55bbbe9b45dc200988ee7e03007be288391574849034079faca82,22791,32097,16013,8006,0.000440,30666.52,30162.95,
5,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x862e5e988c9021e22120ccbfd3758b61563e4b8f8207d71739ca6b5810d4c733,22792,32097,16013,8006,0.000440,29631.89,29158.67,
5,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x09c2dd52bfbad3e6fa8b5c9c38eaaae1b8226562612e2d272367adee5f4196c5,22792,32097,16013,8006,0.000440,29644.33,29161.06,
5,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x0c27765943e4a940b1c713561c667bed70326f057c26f0cd978b097a6526246d,22792,32097,16013,8006,0.000440,29645.97,29160.62,
5,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0xc43f5cc5132ce4098d067316dc8d11d2288038d7e0b2129bb672471e55fa626d,22792,32097,16013,8006,0.000440,29651.60,29162.33,
6,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x8d008a7701cd97b9c8ee6ae35d52403f4e574744a7557db218eda523ab625245,22793,32097,32318,16159,0.000888,29653.91,29166.12,
6,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x6325439071d35345a05ca651b9b3d54fecdaa6b85cf955a46cb656c714059245,22793,32097,32318,16159,0.000888,30634.57,30161.64,
6,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0xc1a822bcc8f80a58d77aa8e1d63647dd7980339571bb403d749e3e500b1e5a95,22793,32097,32318,16159,0.000888,30648.91,30163.48,
6,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0xe4f83fad0b832139e3e9c1ded5a107c0f36397b20d2547693920fa5ab6cd784d,22793,32097,32318,16159,0.000888,30649.06,30164.54,
7,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xae85bad61259cb3922e23f61b14c926c31665538a690e493a6617f4bb6dcc653,22794,32097,32318,16159,0.000888,29637.13,29159.16,
7,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0xce4abafbfbfcaeef5ee13f0e70c78627c38f831f5b724fbacaad25ba655861dc,22794,32097,32318,16159,0.000888,29647.14,29161.53,
7,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x0424e54108f45e65c6318985397448aa473938f630758062ffdbf7d61fb50b1d,22794,32097,32318,16159,0.000888,29646.96,29161.07,
7,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x1fdabbfacf9581356ea2c813b0cf5f2f4901a614ac6c786edf4c2c407c1d92b2,22794,32097,32318,16159,0.000888,30651.87,30163.13,
8,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x85eee60beed0030eaaf43236384369bdafa13ff3a4373e8a6ab5633d7f4bb735,22795,32097,32318,16159,0.000888,29634.76,29157.64,
8,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0xa5b82cd0b2c07c5a4c7becc685b16390b007a714aeb44d5820f66c2530db5eb0,22795,32097,32318,16159,0.000888,29646.96,29159.96,
8,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0xd252c1b60dc3f6e4433cd768a5575be2a0d42cbe5a8b347cbfe2deaf35d93e97,22795,32097,32318,16159,0.000888,29653.69,29160.92,
8,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x8aa85f4706c88c475f11e3376e0f5ed024298bc7a835c885cec9daead07f026f,22795,32097,32318,16159,0.000888,29655.11,29162.54,
9,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x1f6ba8aaed59a2cc00f97ce12c7427ed9d978d45aac1a1e23159ee8afd41fe57,22796,32097,32318,16159,0.000888,29674.06,29166.61,
9,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x70f4543ddb3ef87e2ef2553d9243a3d9161c0807643cb0bee307da3ed105d353,22796,32097,32318,16159,0.000888,30630.86,30156.83,
9,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x13fb3c330f54ac35ab98e046dba3fcce4ba1e6c1e5de528e92f615abadaf56bc,22796,32097,32318,16159,0.000888,30643.04,30162.71,
9,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0xef2f731be0a2ceb9ad59255838e2dae10794caec7590c21ef94b68a137b3a8be,22796,32097,32318,16159,0.000888,30651.28,30163.17,
10,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x21312e4571d7ccf1583e37671ae211e79a6cf05cc1b475915a528c1f489048f5,22797,32097,32318,16159,0.000888,29636.35,29158.66,
10,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x46336aed2aeef9ab57a559833fbea191492998198b73563e4b442c6f5186b59c,22797,32097,32318,16159,0.000888,29652.87,29164.07,
10,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0xd7c803b3dcb22777598f843bf542be1c88f25bf7bfc097990bbc66650722b935,22797,32097,32318,16159,0.000888,29647.91,29162.27,
10,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x0d22d7bf3b7d41d8e42d38d96272a3de87e0d516cc097becd7b444b1b253af17,22797,32097,32318,16159,0.000888,30652.39,30163.23,
11,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xc67790bbf5d7773b8c651ad9cf6024d6eb394aa994b583fdd5a4caa25736bf5a,22798,32097,32318,16159,0.000888,29635.58,29156.82,
