worker_id,total_txs,successful_txs,failed_txs,duration_s,avg_latency_ms,min_latency_ms,max_latency_ms,throughput_tx_s
9,1000,1000,0,29985.52,29984.86,14844.81,30812.37,0.03
10,1000,1000,0,29985.82,29985.16,14908.91,30856.36,0.03
12,1000,1000,0,29985.75,29985.10,14857.53,30817.44,0.03
22,1000,1000,0,29985.97,29985.31,14830.37,30892.43,0.03
5,1000,1000,0,29985.70,29985.04,14814.45,30717.43,0.03
14,1000,1000,0,29985.17,29984.51,14903.23,30863.33,0.03
16,1000,1000,0,29985.81,29985.15,14785.77,30821.91,0.03
30,1000,1000,0,29985.29,29984.63,14905.52,30904.08,0.03
32,1000,1000,0,29985.28,29984.62,14879.81,30770.31,0.03
21,1000,1000,0,29985.75,29985.10,14783.92,30764.17,0.03
27,1000,1000,0,29985.81,29985.15,14999.06,30838.14,0.03
31,1000,1000,0,29985.01,29984.35,14971.91,30753.29,0.03
1,1000,1000,0,29985.42,29984.76,14880.31,30784.86,0.03
6,1000,1000,0,29985.17,29984.52,14971.94,30834.54,0.03
20,1000,1000,0,29985.41,29984.75,14832.57,30859.04,0.03
8,1000,1000,0,29985.79,29985.13,14959.30,30827.66,0.03
15,1000,1000,0,29985.20,29984.53,14816.34,30844.25,0.03
3,1000,1000,0,29985.50,29984.84,14960.68,30809.67,0.03
7,1000,1000,0,29985.31,29984.65,14863.70,30945.51,0.03
11,1000,1000,0,29985.70,29985.04,14993.43,30887.18,0.03
17,1000,1000,0,29985.77,29985.12,14811.94,30806.12,0.03
19,1000,1000,0,29985.32,29984.67,14817.86,30841.94,0.03
29,1000,1000,0,29985.71,29985.05,14811.73,30814.75,0.03
2,1000,1000,0,29985.11,29984.46,14979.00,30865.49,0.03
4,1000,1000,0,29985.73,29985.07,14904.60,30896.43,0.03
13,1000,1000,0,29985.00,29984.33,14774.10,30894.57,0.03
23,1000,1000,0,29985.60,29984.94,14942.55,30921.57,0.03
24,1000,1000,0,29985.95,29985.29,14777.94,30882.56,0.03
25,1000,1000,0,29985.50,29984.85,14962.62,30933.29,0.03
26,1000,1000,0,29985.31,29984.66,14833.79,30787.45,0.03
28,1000,1000,0,29985.67,29985.02,14937.60,30767.22,0.03
18,1000,1000,0,29985.12,29984.46,14847.46,30811.65,0.03
