worker_id,total_txs,successful_txs,failed_txs,duration_s,avg_latency_ms,min_latency_ms,max_latency_ms,throughput_tx_s
23,1000,1000,0,29992.15,29991.48,21097.99,36585.14,0.03
34,1000,1000,0,29992.22,29991.54,21251.13,31131.55,0.03
5,1000,1000,0,29991.36,29990.69,21101.28,31138.83,0.03
6,1000,1000,0,29992.24,29991.57,21045.51,35776.84,0.03
44,1000,1000,0,29991.38,29990.71,21101.43,31154.45,0.03
57,1000,1000,0,29991.74,29991.06,21282.60,31676.74,0.03
38,1000,1000,0,29991.35,29990.68,16658.96,42998.51,0.03
50,1000,1000,0,29992.07,29991.40,21281.85,31238.80,0.03
1,1000,1000,0,29991.90,29991.23,16650.59,43097.24,0.03
10,1000,1000,0,29992.02,29991.35,16542.52,43407.67,0.03
29,1000,1000,0,29992.27,29991.59,21095.53,31174.08,0.03
41,1000,1000,0,29991.43,29990.75,21090.88,31251.23,0.03
47,1000,1000,0,29992.09,29991.42,16639.45,43365.49,0.03
42,1000,1000,0,29992.03,29991.35,21298.21,31094.36,0.03
63,1000,1000,0,29992.16,29991.48,21238.75,31086.79,0.03
11,1000,1000,0,29991.84,29991.17,16647.88,43790.17,0.03
22,1000,1000,0,29991.93,29991.26,21041.42,31107.80,0.03
35,1000,1000,0,29992.15,29991.47,21288.99,31143.36,0.03
37,1000,1000,0,29992.00,29991.33,16575.42,43470.68,0.03
61,1000,1000,0,29992.15,29991.48,21036.37,31253.14,0.03
8,1000,1000,0,29991.37,29990.70,21078.30,31264.87,0.03
60,1000,1000,0,29992.26,29991.58,21181.58,31116.58,0.03
3,1000,1000,0,29991.38,29990.71,21070.11,36534.48,0.03
25,1000,1000,0,29991.44,29990.76,21076.78,35772.27,0.03
26,1000,1000,0,29991.41,29990.74,21106.64,31103.74,0.03
40,1000,1000,0,29991.89,29991.21,21243.19,31267.45,0.03
54,1000,1000,0,29991.30,29990.62,21252.91,31072.36,0.03
17,1000,1000,0,29991.78,29991.10,21038.46,31149.74,0.03
46,1000,1000,0,29992.15,29991.48,16584.37,42566.83,0.03
62,1000,1000,0,29992.02,29991.34,21020.41,31641.66,0.03
56,1000,1000,0,29992.22,29991.55,21078.28,31106.81,0.03
7,1000,1000,0,29992.19,29991.52,21098.28,31356.52,0.03
13,1000,1000,0,29992.03,29991.36,16601.73,43465.82,0.03
18,1000,1000,0,29991.73,29991.06,21130.21,31321.93,0.03
21,1000,1000,0,29992.01,29991.32,16638.31,43339.05,0.03
48,1000,1000,0,29991.30,29990.63,21019.12,31191.78,0.03
59,1000,1000,0,29991.37,29990.69,21246.03,31214.10,0.03
9,1000,1000,0,29992.28,29991.61,21297.52,31524.38,0.03
19,1000,1000,0,29991.31,29990.63,21191.58,31194.70,0.03
24,1000,1000,0,29991.31,29990.63,16585.71,43806.88,0.03
30,1000,1000,0,29991.41,29990.74,21279.12,31127.55,0.03
31,1000,1000,0,29991.88,29991.20,16611.84,43140.77,0.03
32,1000,1000,0,29991.37,29990.70,21088.08,31188.07,0.03
15,1000,1000,0,29991.37,29990.70,21107.12,31298.82,0.03
27,1000,1000,0,29991.35,29990.67,21035.74,31607.65,0.03
33,1000,1000,0,29992.15,29991.48,21279.26,31651.96,0.03
43,1000,1000,0,29991.70,29991.02,21293.23,31088.42,0.03
49,1000,1000,0,29991.30,29990.63,21296.15,31330.06,0.03
58,1000,1000,0,29992.08,29991.41,21091.49,31109.01,0.03
45,1000,1000,0,29991.30,29990.63,16659.67,43038.83,0.03
53,1000,1000,0,29992.23,29991.55,21279.67,31431.69,0.03
55,1000,1000,0,29991.90,29991.23,19634.25,40803.66,0.03
2,1000,1000,0,29992.06,29991.39,21046.11,31204.14,0.03
12,1000,1000,0,29992.18,29991.50,21132.12,31111.83,0.03
20,1000,1000,0,29991.36,29990.68,21279.55,31119.34,0.03
52,1000,1000,0,29991.33,29990.66,21075.84,31150.41,0.03
14,1000,1000,0,29992.05,29991.38,21198.95,31201.40,0.03
36,1000,1000,0,29992.27,29991.60,21057.57,31199.11,0.03
39,1000,1000,0,29991.89,29991.22,21160.24,31476.02,0.03
51,1000,1000,0,29991.33,29990.66,21298.86,31630.51,0.03
64,1000,1000,0,29992.22,29991.55,21286.08,31457.64,0.03
28,1000,1000,0,29992.10,29991.42,21038.67,31239.88,0.03
4,1000,1000,0,29991.31,29990.64,21083.41,31145.08,0.03
16,1000,1000,0,29991.40,29990.72,21061.08,31165.43,0.03
