linha,worker_id,wallet,tx_hash,block,gas_used,meta_co2,diff,e1_value,latency_ms,tx_latency_ms,error
1,24,0x00c4EB9c81e52344dAcdd6A94C5D6100801e1456,0xe2f04af3b2af793e4f0b620fa0dd9e8c024ca88119e3a291839c35a751bb13bc,31217,32097,8605,4302,0.000236,14777.94,14125.18,
1,13,0xe11F4bCb73DCb02c763Bc32e1d6Ab265Ea435253,0xd4f70391a52d441e2d8cb555f657deb3b3538503f6691ba6303600dba0ea0e74,31217,32097,8605,4302,0.000236,14774.10,14125.70,
1,21,0x20973B932Bac041134B19D18E00A09DFae0bAB9A,0x3a58ba5e103739a0c97b82896804e8f112e0f30bcb130e2770ad2554f16a7800,31217,32097,8605,4302,0.000236,14783.92,14126.43,
1,16,0x817007D27a7D8DF5AB038b5959B5c1fA934cF9f2,0x85ca4d676f777c0e4ae5418760e6f9b2b00f51f8fca6674a494833955a5ca01c,31217,32097,8605,4302,0.000236,14785.77,14124.50,
1,29,0xfC579d1123a4E4f26c92978575E3F313073403a6,0x3f83b41549ab852f3dbf1d1231b177c31a83eb46be185c6db9f8ee5b08e90b53,31217,32097,8605,4302,0.000236,14811.73,14128.10,
1,5,0x3d384Df30cE4C9Ef98faB12593Af1D4B383fF3ad,0x619076bc9f17ecf91794ebc4b2c6764b545ac2f3f1d99f27303aba6173a1f7bf,31217,32097,8605,4302,0.000236,14814.45,14127.89,
1,17,0x99D0e2E5b99437f7f47e4AdA355aCdA182fC8798,0xdd7e1d16723e9383cf74f5b06ed49a6c1cea5f1f1eaf276e57340d4a0cb6b6de,31217,32097,8605,4302,0.000236,14811.94,14129.20,
1,19,0xD346Bf65602B53FeF80c09Fe0452E88A89B737f2,0x511017f4bce9fbe99407d6235f464c118e47067198d7bc11a45d640597ac5445,31217,32097,8605,4302,0.000236,14817.86,14132.05,
1,15,0x9f931889bdb0e05d098Cc774Cfd8FeE2E10d4321,0x527278b3c033d42e6b78d368c3ec1da3b3f94cc911d93f9334fe2386da004646,31217,32097,8605,4302,0.000236,14816.34,14128.79,
1,22,0xC6afd0BE4A0038d68d31a6eB9Fd9411f3C9987B1,0xeb3592388786a7f4b534229071d30a3b91a7cb8d6c5b6cf78f1f920c74bea094,31217,32097,8605,4302,0.000236,14830.37,14132.40,
1,26,0xB3667622a0341fEA27Bb7e99532a14334Bd42646,0x0d1f140185c72d6a5becffd40583ddac34b8a0ad92b577a021b32a3be0c3be58,31217,32097,8605,4302,0.000236,14833.79,14132.95,
