worker_id,total_txs,successful_txs,failed_txs,duration_s,avg_latency_ms,min_latency_ms,max_latency_ms,throughput_tx_s
15,1000,1000,0,29981.84,29981.14,10852.18,31294.08,0.03
3,1000,1000,0,29981.84,29981.15,10865.92,31090.61,0.03
6,1000,1000,0,29981.08,29980.39,10927.45,31286.39,0.03
10,1000,1000,0,29981.86,29981.16,10797.59,31474.50,0.03
12,1000,1000,0,29981.86,29981.18,10838.07,31672.85,0.03
1,1000,1000,0,29981.25,29980.56,10902.70,31274.92,0.03
2,1000,1000,0,29981.86,29981.17,10798.12,31472.88,0.03
7,1000,1000,0,29981.25,29980.56,10828.72,31694.23,0.03
8,1000,1000,0,29981.84,29981.15,10906.20,31469.97,0.03
11,1000,1000,0,29981.87,29981.18,10831.17,31694.47,0.03
14,1000,1000,0,29981.87,29981.17,10914.52,31690.26,0.03
16,1000,1000,0,29981.84,29981.16,10903.84,31469.86,0.03
4,1000,1000,0,29981.84,29981.15,10786.63,31291.36,0.03
9,1000,1000,0,29981.08,29980.39,10801.14,31275.15,0.03
13,1000,1000,0,29981.86,29981.18,10772.66,31062.23,0.03
5,1000,1000,0,29981.84,29981.16,10893.27,31280.07,0.03
